名稱,代碼,
全新,2455,
聯亞,3081,
波若威,3163,
光環,3234,
上詮,3363,
聯鈞,3450,
大眾控,3701,
IET-KY,4971,
眾達-KY,4977,
華星光,4979,
環宇-KY,4991,
光聖,6442,
訊芯-KY,6451,
精測,6510,
達發,6526,
華城,1519,
中華化,1727,
宇隆,2233,
台達電,2308,
台積電,2330,
廣達,2382,
台光電,2383,
南亞科,2408,
京元電子,2449,
聯發科,2454,
大立光,3008,
晟銘電,3013,
奇鋐,3017,
欣興,3037,
景碩,3189,
緯創,3231,
創意,3443,
世芯-KY,3661,
士電,1503,
中興電,1513,
亞力,1514,
華城,1519,
光寶科,2301,
台達電,2308,
迅杰,6243,
康舒,6282,
群電,6412
日月光投控,3711,
新應材,4749,
信驊,5274,
台燿,6274,
緯穎,6669,
中砂,1560,
金像電,2368,
台光電,2383,
聯發科,2454,
志聖,2467,
強茂,2481,
一詮,2486,
奇鋐,3017,
欣興,3037,
聯亞,3081,
波若威,3163,
景碩,3189,
健策,3653,
世芯-KY,3661,
定穎投控,3715,
華星光,4979,
環宇-KY,4991,
台燿,6274,
富世達,6805,
昇陽半導體,8028,
南電,8046,
高力,8996,
一詮,2486,
奇鋐,3017,
雙鴻,3324,
健策,3653,
全新,2455,
聯亞,3081,
波若威,3163,
光環,3234,
上詮,3363,
聯鈞,3450,
大眾控,3701,
IET-KY,4971,
眾達-KY,4977,
華星光,4979,
環宇-KY,4991,
光聖,6442,
訊芯-KY,6451,
精測,6510,
達發,6526,
華通,2313,
台光電,2383,
昇達科,3491,
啟碁,6285,
萊德光電-KY,7717,
中砂,1560,
漢唐,2404,
志聖,2467,
弘塑,3131,
辛耘,3583,
家登,3680,
均豪,5443,
聖暉*,5536,
亞翔,6139,
帆宣,6196,
群翊,6664,
洋基工程,6691,
致茂,2360,
廣達,2382,
漢唐,2404,
京元電子,2449,
聯發科,2454,
奇鋐,3017,
緯創,3231,
雙鴻,3324,
健策,3653,
貿聯-KY,3665,
新應材,4749,
聯茂,6213,
昇陽半導體,8028,
欣興,3037,
景碩,3189,
南電,8046,